id,priority,area,status,issue,expected,next_action,evidence
QA-001,P0,Navigation,open,"Visible header/footer links open 404 pages: /company/team/, /careers/, /contact/, /transformers/, /industries/, /support/, /support/documentation/, /support/faq/, /support/certifications/, /support/calculator/","All visible links open real pages or are hidden","Create missing pages or remove/replace links before paid traffic","outputs/site-audit/08-transformers-404.png"
QA-002,P0,Forms,open,"RFQ form redirects to thank-you even if webhook request fails","Thank-you only after confirmed successful lead delivery","Move submit behind server/serverless endpoint and handle failed delivery visibly","outputs/site-audit/02-request-quote-desktop.png"
QA-003,P1,Forms/Security,open,"GHL webhook endpoint is exposed in frontend JavaScript","Webhook URL stays server-side only","Proxy form submissions through backend/serverless route; keep webhook in env","not published"
QA-004,P1,Forms,open,"Home quick form sends query params but RFQ page does not prefill fields","User data carries into RFQ step or submits directly","Implement query-param prefill or make home form a real lead form","manual test: request-quote query params"
QA-005,P1,Tracking,open,"Lead payload lacks obvious UTM/click-id/page-url attribution fields","Every lead includes UTM, gclid/gbraid/wbraid, fbclid/_fbp/_fbc, page URL, form name","Capture attribution in browser and pass it to server/GHL","form payload inspection"
QA-006,P1,GHL mapping,open,"Small product-page form may create contact but not map free-text message","Project details/message appears in GHL reliably","Map message to GHL note/custom field; consider rfq_message/project_details field","team GHL test plus payload inspection"
QA-007,P1,Trust/Contact,open,"Footer/contact has inconsistent placeholder-looking email/phone and social links point to #","Only verified LIMIK contact details and working socials are visible","Replace or hide unfinished contact/social data","outputs/site-audit/01-home-desktop.png"
QA-008,P2,SEO,open,"Core SEO metadata is missing/thin: meta description, canonical, OG tags","Every main page has unique SEO and social metadata","Add page-level title/description/canonical/OG/Twitter tags","page metadata inspection"
QA-009,P2,SEO/Accessibility,open,"Home page exposes multiple H1 headings from slider","One primary H1 per page","Keep one H1 and make other slide titles H2/div or hide inactive slides semantically","home DOM inspection"
QA-010,P2,Mobile Accessibility,open,"Mobile hamburger is a div without semantic button/ARIA behavior","Menu trigger is keyboard and screen-reader accessible","Use button with aria-label and aria-expanded","outputs/site-audit/06-mobile-menu-open.png"
QA-011,P2,Forms,open,"RFQ upload says PDF/DWG/DOCX/XLS but file input has no accept restriction","Browser guides accepted file types and backend validates","Add accept attribute and server-side validation","outputs/site-audit/04-request-quote-bottom.png"
QA-012,P2,Frontend Console,open,"Repeated GSAP target warnings in console","No repeated missing-target warnings","Guard GSAP selectors or remove unused targets","browser console logs"
